Epoch	Dice_Train	Dice_Val	Dice_1	Dice_11	Dice_2	Dice_22	Dice_3	Dice_33	Dice_4	Dice_44	Dice_5	Dice_55	Dice_6	Dice_66	Dice_7	Dice_77	Dice_8	Dice_88	Dice_9	Dice_99	Dice_10	Dice_1010	
0.000000	0.286341	0.448186	0.238261	0.442376	0.007872	0.134846	0.085841	0.288019	0.046770	0.268086	0.293495	0.407941	0.650909	0.714473	0.306968	0.652898	0.382006	0.528885	0.545072	0.497930	0.306220	0.546409	
1.000000	0.671652	0.667316	0.689695	0.695874	0.475390	0.522005	0.498352	0.543123	0.580194	0.615644	0.670796	0.645987	0.827807	0.769110	0.764158	0.780393	0.737612	0.727961	0.745295	0.744504	0.727224	0.628556	
2.000000	0.731038	0.671117	0.751557	0.681974	0.553928	0.552308	0.585515	0.455060	0.668177	0.574717	0.715748	0.657626	0.851575	0.803336	0.807781	0.782428	0.789502	0.730577	0.807504	0.757092	0.779096	0.716051	
3.000000	0.755782	0.636267	0.774671	0.667186	0.598369	0.535846	0.629240	0.519018	0.705006	0.582536	0.751465	0.595665	0.866852	0.775244	0.820674	0.705426	0.799381	0.652948	0.822473	0.727278	0.789689	0.601517	
4.000000	0.770826	0.626892	0.790309	0.595287	0.617179	0.421605	0.652441	0.524447	0.722223	0.610895	0.763711	0.654293	0.876031	0.755884	0.835917	0.737454	0.805322	0.704190	0.838071	0.683590	0.807058	0.581277	
5.000000	0.769876	0.685920	0.796287	0.670409	0.608486	0.484404	0.649039	0.544810	0.721309	0.624943	0.761082	0.671218	0.876267	0.818546	0.834243	0.781757	0.802973	0.748770	0.833546	0.772958	0.815528	0.741389	
6.000000	0.784796	0.724948	0.810324	0.739919	0.638097	0.596880	0.671664	0.624119	0.739572	0.690491	0.773380	0.720428	0.880760	0.823244	0.842438	0.790117	0.817306	0.759638	0.848622	0.768255	0.825799	0.736391	
7.000000	0.793192	0.694066	0.817428	0.678033	0.650567	0.559460	0.684119	0.618727	0.745588	0.663058	0.781374	0.674053	0.886054	0.779540	0.848334	0.760054	0.820261	0.747350	0.864123	0.763646	0.834067	0.696740	
8.000000	0.793562	0.716732	0.820594	0.721924	0.656681	0.564518	0.687055	0.626296	0.743439	0.686905	0.779549	0.730162	0.881590	0.824532	0.842746	0.786844	0.818669	0.749407	0.864909	0.768782	0.840390	0.707946	
9.000000	0.799998	0.706466	0.827699	0.698846	0.664715	0.546130	0.694044	0.631225	0.752030	0.678300	0.784884	0.722735	0.886938	0.819195	0.850579	0.776697	0.824988	0.744751	0.865409	0.770098	0.848691	0.676684	
10.000000	0.796895	0.714003	0.820092	0.743968	0.645742	0.542444	0.687784	0.600227	0.749790	0.681359	0.784692	0.726841	0.887653	0.826486	0.850735	0.771163	0.825903	0.730949	0.866912	0.769283	0.849648	0.747307	
11.000000	0.805291	0.708717	0.834457	0.686124	0.663767	0.598768	0.703910	0.616953	0.757142	0.696100	0.789494	0.731817	0.890484	0.801683	0.853395	0.767980	0.827756	0.748717	0.873036	0.743074	0.859469	0.695955	
12.000000	0.807003	0.708214	0.830061	0.728954	0.672459	0.586424	0.703470	0.602867	0.761118	0.658434	0.792621	0.687387	0.889525	0.803593	0.854691	0.764292	0.831698	0.743661	0.876202	0.786776	0.858183	0.719747	
13.000000	0.809634	0.718296	0.842001	0.728430	0.677407	0.598653	0.711337	0.623996	0.762562	0.672486	0.793269	0.693147	0.890255	0.806754	0.852631	0.779187	0.827683	0.737469	0.875208	0.779565	0.863989	0.763277	
14.000000	0.814381	0.725042	0.840872	0.716938	0.684157	0.602816	0.712645	0.646853	0.767173	0.705173	0.794748	0.744158	0.893850	0.834913	0.860496	0.787224	0.832828	0.748965	0.883834	0.782350	0.873208	0.681031	
15.000000	0.812642	0.732641	0.844670	0.755372	0.678983	0.621732	0.709904	0.621681	0.763607	0.673283	0.790489	0.718123	0.894304	0.824930	0.861082	0.797989	0.831720	0.767547	0.881098	0.803072	0.870567	0.742680	
16.000000	0.816564	0.736674	0.842343	0.708727	0.683002	0.608653	0.717261	0.646357	0.771359	0.702737	0.799209	0.725463	0.896928	0.836969	0.862751	0.807346	0.832446	0.776467	0.885396	0.791317	0.874943	0.762705	
17.000000	0.814303	0.731883	0.847325	0.728248	0.681991	0.624327	0.711385	0.638924	0.761883	0.701511	0.794386	0.743139	0.892084	0.825346	0.860137	0.775569	0.832260	0.757217	0.882249	0.769143	0.879332	0.755403	
18.000000	0.817769	0.713989	0.850797	0.729243	0.687604	0.612169	0.713931	0.597538	0.765270	0.656026	0.793536	0.697991	0.895603	0.800022	0.863096	0.763114	0.834317	0.748542	0.890690	0.802701	0.882847	0.732541	
19.000000	0.822449	0.729410	0.852764	0.743170	0.695744	0.602891	0.722213	0.634909	0.776131	0.685425	0.799240	0.727602	0.896783	0.832665	0.863717	0.783390	0.835213	0.755761	0.893745	0.794213	0.888934	0.734070	
20.000000	0.836510	0.749885	0.870839	0.765234	0.718200	0.618297	0.742597	0.659173	0.789853	0.711330	0.813919	0.752952	0.903379	0.837897	0.870803	0.803376	0.844870	0.774797	0.904672	0.812297	0.905973	0.763500	
21.000000	0.842500	0.753041	0.878353	0.766051	0.727740	0.633390	0.750945	0.664637	0.796963	0.716787	0.818894	0.753379	0.907268	0.836523	0.873620	0.800467	0.847260	0.769874	0.908308	0.813908	0.915654	0.775395	
22.000000	0.844593	0.749564	0.880739	0.753910	0.730701	0.627750	0.753515	0.662906	0.799062	0.715750	0.820764	0.754463	0.908623	0.837580	0.874193	0.807160	0.847527	0.774642	0.910286	0.807534	0.920522	0.753942	
23.000000	0.846588	0.749215	0.883869	0.762295	0.736380	0.625427	0.757035	0.655769	0.801168	0.711486	0.821585	0.752771	0.908831	0.840131	0.874242	0.800062	0.848431	0.767693	0.910336	0.814839	0.924006	0.761675	
24.000000	0.848035	0.748020	0.884863	0.747967	0.737415	0.628098	0.759406	0.661103	0.803387	0.711518	0.823038	0.754717	0.909484	0.835774	0.874617	0.802434	0.848639	0.771787	0.912713	0.812284	0.926789	0.754515	
25.000000	0.849965	0.746347	0.887451	0.736250	0.741577	0.619875	0.762190	0.661397	0.805167	0.716437	0.824893	0.756830	0.909860	0.836880	0.875386	0.794210	0.849726	0.764379	0.913636	0.809235	0.929768	0.767972	
26.000000	0.850467	0.746593	0.888731	0.743131	0.743327	0.618183	0.762572	0.660376	0.806120	0.714836	0.824686	0.754570	0.910077	0.837546	0.875200	0.800285	0.848225	0.769325	0.914099	0.812737	0.931638	0.754941	
27.000000	0.852211	0.749464	0.890560	0.758493	0.745415	0.632770	0.765841	0.655560	0.807889	0.708622	0.826560	0.745291	0.910915	0.835530	0.875938	0.806563	0.849979	0.774926	0.915499	0.815237	0.933510	0.761648	
